MAWB,FWB_Status,FWB_Received_In_Time,FWB_Correct,LAT_Status,LAT_Received_In_Time,LAT_Correct,RCS_Status,RCS_Received_In_Time,RCS_Correct,DEP_Status,DEP_Received_In_Time,DEP_Correct,ARR_Status,ARR_Received_In_Time,ARR_Correct,RCF_Status,RCF_Received_In_Time,RCF_Correct,NFD_Status,NFD_Received_In_Time,NFD_Correct
MAWB100062,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
MAWB100063,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
MAWB100064,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
MAWB100065,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1
MAWB100066,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100067,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1
MAWB100068,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1
MAWB100069,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1
MAWB100070,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
MAWB100071,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100072,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1
MAWB100073,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100074,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
MAWB100075,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1
MAWB100076,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1
MAWB100077,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
MAWB100078,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
MAWB100079,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100080,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100081,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1
MAWB100082,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1
MAWB100083,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
MAWB100084,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
MAWB100085,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100086,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100087,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1
MAWB100088,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
MAWB100089,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100090,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
MAWB100091,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
MAWB100092,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100093,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100094,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
MAWB100095,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
MAWB100096,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1
MAWB100097,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1
MAWB100098,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1
MAWB100099,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100100,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1
MAWB100101,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
MAWB100102,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
MAWB100103,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
MAWB100104,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100105,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1
MAWB100106,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
MAWB100107,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
MAWB100108,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
MAWB100109,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1
MAWB100110,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1
MAWB100111,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1
MAWB100112,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100113,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
MAWB100114,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1
MAWB100115,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
MAWB100116,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,1
MAWB100117,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
MAWB100118,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100119,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1
MAWB100120,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1
MAWB100121,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1
MAWB100122,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100123,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1
MAWB100124,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1
MAWB100125,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100126,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
MAWB100127,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1
MAWB100128,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
MAWB100129,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
MAWB100130,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1
MAWB100131,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
MAWB100132,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1
MAWB100133,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
MAWB100134,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100135,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100136,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100137,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
MAWB100138,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1
MAWB100139,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1
MAWB100140,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1
MAWB100141,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
MAWB100142,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100143,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
MAWB100144,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1
MAWB100145,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1
MAWB100146,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1
MAWB100147,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1
MAWB100148,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
MAWB100149,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100150,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
MAWB100151,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100152,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100153,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1
MAWB100154,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
MAWB100155,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1
MAWB100156,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100157,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100158,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100159,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
MAWB100160,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100161,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1
MAWB100162,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
MAWB100163,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
MAWB100164,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
MAWB100165,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1
MAWB100166,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
MAWB100167,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1
MAWB100168,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100169,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100170,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
MAWB100171,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1
MAWB100172,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
MAWB100173,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100174,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
MAWB100175,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
MAWB100176,1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
MAWB100177,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1
MAWB100178,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100179,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
MAWB100180,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
MAWB100181,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
MAWB100182,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1
MAWB100183,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1
MAWB100184,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1
MAWB100185,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
MAWB100186,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1
MAWB100187,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1
MAWB100188,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100189,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
MAWB100190,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
MAWB100191,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1
MAWB100192,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
MAWB100193,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
MAWB100194,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
MAWB100195,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100196,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
MAWB100197,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1
MAWB100198,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
MAWB100199,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100200,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
MAWB100201,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
MAWB100202,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100203,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
MAWB100204,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
MAWB100205,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
MAWB100206,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
MAWB100207,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1
MAWB100208,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100209,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1
MAWB100210,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
MAWB100211,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100212,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
MAWB100213,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100214,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100215,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1
MAWB100216,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1
MAWB100217,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
MAWB100218,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1
MAWB100219,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
MAWB100220,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1
MAWB100221,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1
MAWB100222,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
MAWB100223,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100224,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1
MAWB100225,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1
MAWB100226,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1
MAWB100227,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100228,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
MAWB100229,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1
MAWB100230,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100231,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
MAWB100232,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100233,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
MAWB100234,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100235,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0
MAWB100236,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
MAWB100237,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
MAWB100238,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1
MAWB100239,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1
MAWB100240,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
MAWB100241,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1
MAWB100242,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100243,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100244,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
MAWB100245,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
MAWB100246,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
MAWB100247,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
MAWB100248,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1
MAWB100249,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
MAWB100250,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100251,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1
MAWB100252,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1
MAWB100253,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
MAWB100254,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0
MAWB100255,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1
MAWB100256,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
MAWB100257,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1
MAWB100258,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1
MAWB100259,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1
MAWB100260,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100261,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
MAWB100262,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100263,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1
MAWB100264,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
MAWB100265,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1
MAWB100266,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1
MAWB100267,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
MAWB100268,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
MAWB100269,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1
MAWB100270,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100271,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
MAWB100272,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
MAWB100273,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1
MAWB100274,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1
MAWB100275,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
MAWB100276,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
