MAWB,Carrier_Code,Departure_Year_Month,Export_Main_Office_Company,Export_Main_Office_Branch,Carrier_Service_Level,Trade_Lane_A2A,Departure_Airport_Location,Destination_Airport_Location,Service_Type,Vertical,Commodity,Interline_Shipment,Chargeable_Weight,Handling_Notes
MAWB100019,UA,2025-04,AE,AEDXB,DIM,DXB-FRA,DXB,FRA,EXP,Automotive,Gearboxes,N,1491.6,Shipper delayed cargo handover - JIT production line at risk
MAWB100020,BA,2025-06,GB,GBBRS,PRM,BRS-ORD,BRS,ORD,DGR,Pharma,Insulin,Y,3078.7,No issues reported
MAWB100021,UA,2025-04,FR,FRCDG,DIM,CDG-HKG,CDG,HKG,EXP,Automotive,Car Parts,Y,740.5,LAT milestone delayed because truck arrived late
MAWB100022,LH,2025-08,GB,GBBHX,XPS,BHX-NRT,BHX,NRT,DGR,Perishables,Flowers,Y,1496.1,Phytosanitary certificate missing for fresh fruit - document chase required
MAWB100023,BA,2025-08,GB,GBLHR,DIM,LHR-AMS,LHR,AMS,EXP,Perishables,Vegetables,Y,1863.5,No issues reported
MAWB100024,UA,2025-07,NL,NLAMS,DIM,AMS-DXB,AMS,DXB,GEN,Retail,Consumer Electronics,N,2307.5,Shipment processed normally
MAWB100025,UA,2025-12,GB,GBBRS,ECO,BRS-PVG,BRS,PVG,DGR,Aerospace,Aircraft Parts,Y,3936.6,
MAWB100026,EK,2025-02,FR,FRCDG,GEN,CDG-GRU,CDG,GRU,GEN,Pharma,Medical Devices,Y,1038.4,Shipment processed normally
MAWB100027,CX,2025-07,SG,SGSIN,DGR,SIN-PVG,SIN,PVG,GEN,Aerospace,Aircraft Parts,N,2595.5,Standard handling completed
MAWB100028,CX,2025-11,GB,GBBRS,XPS,BRS-AMS,BRS,AMS,GEN,Retail,Footwear,N,2982.5,No issues reported
MAWB100029,AF,2025-09,SG,SGSIN,DGR,SIN-BKK,SIN,BKK,GEN,Pharma,Vaccines,Y,279.9,Customs hold at destination - awaiting clearance
MAWB100030,BA,2025-09,DE,DEFRA,PRM,FRA-SIN,FRA,SIN,DGR,Perishables,Vegetables,N,3057.3,Standard handling completed
MAWB100031,SQ,2025-02,GB,GBLHR,DGR,LHR-MEX,LHR,MEX,DGR,Automotive,Car Parts,Y,894.1,
MAWB100032,LH,2025-05,DE,DEFRA,PRM,FRA-CDG,FRA,CDG,EXP,Automotive,Gearboxes,N,372,
MAWB100033,UA,2025-11,FR,FRCDG,ECO,CDG-ATL,CDG,ATL,DGR,Automotive,Engine Components,N,4747,
MAWB100034,BA,2025-12,AE,AEDXB,DGR,DXB-ATL,DXB,ATL,DGR,Pharma,Vaccines,Y,4829.9,Standard handling completed
MAWB100035,CX,2025-06,NL,NLAMS,DIM,AMS-MEX,AMS,MEX,DGR,Pharma,Laboratory Samples,Y,4051.6,
MAWB100036,AF,2025-10,GB,GBLHR,DIM,LHR-LAX,LHR,LAX,EXP,Aerospace,Maintenance Kits,Y,1557.8,
MAWB100037,LH,2025-05,GB,GBMAN,GEN,MAN-SIN,MAN,SIN,GEN,Retail,Footwear,N,533.5,Minor damage to outer packaging noted on arrival
MAWB100038,EK,2025-05,GB,GBBRS,XPS,BRS-CDG,BRS,CDG,DGR,Retail,Consumer Electronics,Y,3437,
MAWB100039,DL,2025-05,NL,NLAMS,PRM,AMS-JFK,AMS,JFK,DGR,Automotive,Car Parts,N,2228.8,Standard handling completed
MAWB100040,BA,2025-10,FR,FRCDG,XPS,CDG-ORD,CDG,ORD,DGR,Automotive,Engine Components,N,654.1,Shipment moved as planned
MAWB100041,SQ,2025-07,DE,DEFRA,XPS,FRA-JFK,FRA,JFK,DGR,Retail,Clothing,N,2501.1,
MAWB100042,CX,2025-06,FR,FRCDG,ECO,CDG-GRU,CDG,GRU,EXP,Aerospace,Avionics,Y,220.2,Shipment processed normally
MAWB100043,AF,2025-06,GB,GBBHX,DIM,BHX-SYD,BHX,SYD,EXP,Automotive,Gearboxes,N,4551.1,Shipment moved as planned
MAWB100044,SQ,2025-07,GB,GBMAN,DGR,MAN-BKK,MAN,BKK,GEN,Aerospace,Turbine Components,N,1331,
MAWB100045,UA,2025-08,SG,SGSIN,PRM,SIN-JFK,SIN,JFK,GEN,Retail,Homeware,Y,3329.5,Standard handling completed
MAWB100046,SQ,2025-02,GB,GBBHX,DIM,BHX-SYD,BHX,SYD,GEN,Aerospace,Turbine Components,Y,1593,
MAWB100047,UA,2025-10,FR,FRCDG,GEN,CDG-PVG,CDG,PVG,DGR,Perishables,Vegetables,Y,2624.3,
MAWB100048,LH,2025-03,NL,NLAMS,GEN,AMS-SYD,AMS,SYD,GEN,Retail,Footwear,Y,2756.2,
MAWB100049,CX,2025-02,AE,AEDXB,GEN,DXB-ICN,DXB,ICN,DGR,Pharma,Medical Devices,N,965,No issues reported
MAWB100050,SQ,2025-08,AE,AEDXB,ECO,DXB-ICN,DXB,ICN,EXP,Perishables,Vegetables,Y,4849.4,
MAWB100051,LH,2025-04,GB,GBBHX,DIM,BHX-NRT,BHX,NRT,GEN,Pharma,Laboratory Samples,Y,3886.9,Shipment moved as planned
MAWB100052,UA,2025-07,NL,NLAMS,GEN,AMS-MEX,AMS,MEX,GEN,Perishables,Flowers,Y,4700.5,Standard handling completed
MAWB100053,CX,2025-10,NL,NLAMS,DGR,AMS-HKG,AMS,HKG,EXP,Aerospace,Aircraft Parts,N,4479.4,
MAWB100054,UA,2025-08,AE,AEDXB,XPS,DXB-DEL,DXB,DEL,EXP,Aerospace,Avionics,N,3009.6,Dangerous goods paperwork incorrect
MAWB100055,BA,2025-10,NL,NLAMS,XPS,AMS-LHR,AMS,LHR,DGR,Retail,Footwear,N,4613.3,No issues reported
MAWB100056,UA,2025-05,GB,GBMAN,DGR,MAN-NRT,MAN,NRT,EXP,Perishables,Flowers,N,488,
MAWB100057,BA,2025-08,GB,GBBHX,DGR,BHX-HKG,BHX,HKG,GEN,Automotive,Car Parts,Y,1020.1,LAT milestone delayed because truck arrived late
MAWB100058,AF,2025-01,FR,FRCDG,GEN,CDG-ATL,CDG,ATL,DGR,Perishables,Fish,Y,273.9,
MAWB100059,LH,2025-06,SG,SGSIN,DIM,SIN-CDG,SIN,CDG,EXP,Retail,Consumer Electronics,Y,1660.4,Shipment held due to missing invoice & packing list
MAWB100060,LH,2025-07,SG,SGSIN,ECO,SIN-ATL,SIN,ATL,DGR,Automotive,Gearboxes,Y,1974,
MAWB100061,DL,2025-10,GB,GBLHR,PRM,LHR-SIN,LHR,SIN,EXP,Aerospace,Aircraft Parts,Y,1393.2,Shipment moved as planned
MAWB100062,UA,2025-08,AE,AEDXB,PRM,DXB-JFK,DXB,JFK,GEN,Pharma,Insulin,N,4152.3,Temperature excursion reported for pharma cargo
MAWB100063,SQ,2025-08,GB,GBMAN,DGR,MAN-SYD,MAN,SYD,GEN,Automotive,Gearboxes,Y,1815.9,Shipment processed normally
MAWB100064,CX,2025-10,GB,GBBHX,XPS,BHX-NRT,BHX,NRT,EXP,Perishables,Vegetables,N,1440.6,No issues reported
MAWB100065,SQ,2025-05,GB,GBMAN,ECO,MAN-ICN,MAN,ICN,GEN,Perishables,Fruit,Y,2736.3,Standard handling completed
MAWB100066,UA,2025-09,GB,GBLHR,PRM,LHR-AMS,LHR,AMS,DGR,Retail,Homeware,N,747.6,Shipment processed normally
MAWB100067,SQ,2025-04,US,USATL,PRM,ATL-PVG,ATL,PVG,DGR,Pharma,Laboratory Samples,N,4020.9,Hospital consignee not available - cold storage arranged at destination
MAWB100068,CX,2025-07,US,USATL,DGR,ATL-DEL,ATL,DEL,DGR,Aerospace,Turbine Components,N,419,Standard handling completed
MAWB100069,LH,2025-02,GB,GBBHX,PRM,BHX-DXB,BHX,DXB,DGR,Automotive,Engine Components,Y,4935.1,Shipment moved as planned
MAWB100070,SQ,2025-12,GB,GBBRS,XPS,BRS-CDG,BRS,CDG,GEN,Retail,Consumer Electronics,N,3872.6,Standard handling completed
MAWB100071,SQ,2025-01,GB,GBBRS,XPS,BRS-JFK,BRS,JFK,GEN,Perishables,Fruit,N,1033.6,
MAWB100072,UA,2025-10,GB,GBMAN,DGR,MAN-ICN,MAN,ICN,GEN,Pharma,Vaccines,Y,77.3,No issues reported
MAWB100073,BA,2025-07,GB,GBBHX,DIM,BHX-ICN,BHX,ICN,GEN,Pharma,Vaccines,N,4086.5,Standard handling completed
MAWB100074,EK,2025-10,GB,GBLHR,ECO,LHR-AMS,LHR,AMS,EXP,Pharma,Insulin,N,3548.9,Standard handling completed
MAWB100075,LH,2025-05,US,USATL,DIM,ATL-SIN,ATL,SIN,DGR,Aerospace,Maintenance Kits,Y,3658.6,
MAWB100076,BA,2025-03,GB,GBBHX,GEN,BHX-JNB,BHX,JNB,EXP,Perishables,Fish,N,3867.8,
MAWB100077,LH,2025-12,GB,GBBHX,PRM,BHX-PVG,BHX,PVG,GEN,Perishables,Fruit,N,416.5,No issues reported
MAWB100078,SQ,2025-09,SG,SGSIN,DIM,SIN-CDG,SIN,CDG,GEN,Retail,Clothing,Y,1824.4,
MAWB100079,SQ,2025-08,GB,GBMAN,PRM,MAN-DXB,MAN,DXB,EXP,Aerospace,Turbine Components,N,623.6,Minor damage to outer packaging noted on arrival
MAWB100080,CX,2025-02,AE,AEDXB,ECO,DXB-DEL,DXB,DEL,EXP,Retail,Homeware,Y,4322.4,No issues reported
MAWB100081,BA,2025-11,GB,GBLHR,DIM,LHR-AMS,LHR,AMS,EXP,Aerospace,Aircraft Parts,N,3135.3,Misconnect at hub due to late inbound flight - airline notified for AOG priority
MAWB100082,UA,2025-11,GB,GBBHX,DGR,BHX-LHR,BHX,LHR,EXP,Aerospace,Maintenance Kits,N,1687.9,
MAWB100083,DL,2025-07,DE,DEFRA,ECO,FRA-ORD,FRA,ORD,GEN,Perishables,Fruit,N,364.6,Shipment moved as planned
MAWB100084,BA,2025-02,GB,GBLHR,PRM,LHR-JFK,LHR,JFK,DGR,Automotive,Tyres,N,1589.4,No issues reported
MAWB100085,UA,2025-10,NL,NLAMS,XPS,AMS-PVG,AMS,PVG,GEN,Perishables,Fruit,N,1659.7,Shipment processed normally
MAWB100086,EK,2025-12,AE,AEDXB,PRM,DXB-MEX,DXB,MEX,GEN,Automotive,Gearboxes,N,3661.6,
MAWB100087,UA,2025-02,AE,AEDXB,XPS,DXB-ATL,DXB,ATL,DGR,Aerospace,Maintenance Kits,Y,3205.9,
MAWB100088,EK,2025-07,US,USATL,GEN,ATL-SIN,ATL,SIN,DGR,Aerospace,Turbine Components,Y,4441.7,No issues reported
MAWB100089,CX,2025-02,NL,NLAMS,ECO,AMS-CDG,AMS,CDG,EXP,Aerospace,Avionics,Y,2387.5,No issues reported
MAWB100090,CX,2025-03,GB,GBBHX,DGR,BHX-DXB,BHX,DXB,DGR,Aerospace,Maintenance Kits,N,642,No issues reported
MAWB100091,BA,2025-10,US,USATL,DGR,ATL-JFK,ATL,JFK,DGR,Perishables,Fish,N,3580.6,No issues reported
MAWB100092,CX,2025-01,NL,NLAMS,XPS,AMS-HKG,AMS,HKG,EXP,Perishables,Vegetables,Y,3815.9,Shipment held due to missing invoice & packing list
MAWB100093,LH,2025-07,AE,AEDXB,GEN,DXB-ICN,DXB,ICN,EXP,Pharma,Medical Devices,N,2828.3,
MAWB100094,CX,2025-11,SG,SGSIN,PRM,SIN-HKG,SIN,HKG,DGR,Pharma,Laboratory Samples,N,3866.3,No issues reported
MAWB100095,EK,2025-04,AE,AEDXB,PRM,DXB-PVG,DXB,PVG,GEN,Aerospace,Aircraft Parts,N,2494.3,Shipment moved as planned
MAWB100096,BA,2025-12,GB,GBLHR,DGR,LHR-ORD,LHR,ORD,GEN,Retail,Footwear,N,2637.5,
MAWB100097,AF,2025-04,DE,DEFRA,DIM,FRA-LAX,FRA,LAX,GEN,Retail,Footwear,Y,2166.3,Standard handling completed
MAWB100098,EK,2025-08,SG,SGSIN,GEN,SIN-HKG,SIN,HKG,DGR,Aerospace,Avionics,N,175.8,
MAWB100099,LH,2025-05,US,USATL,GEN,ATL-DXB,ATL,DXB,EXP,Pharma,Insulin,N,584.1,
MAWB100100,LH,2025-04,NL,NLAMS,DIM,AMS-DXB,AMS,DXB,EXP,Retail,Consumer Electronics,N,205.6,No issues reported
MAWB100101,BA,2025-11,SG,SGSIN,ECO,SIN-DXB,SIN,DXB,DGR,Automotive,Car Parts,N,3200.2,
MAWB100102,SQ,2025-04,GB,GBBHX,PRM,BHX-FRA,BHX,FRA,DGR,Aerospace,Turbine Components,Y,1606.1,Standard handling completed
MAWB100103,AF,2025-01,GB,GBLHR,XPS,LHR-PVG,LHR,PVG,EXP,Automotive,Gearboxes,N,2567.4,Shipment processed normally
MAWB100104,SQ,2025-09,NL,NLAMS,DIM,AMS-LHR,AMS,LHR,EXP,Perishables,Fish,N,4542.5,Shipment moved as planned
MAWB100105,DL,2025-02,GB,GBBHX,ECO,BHX-SIN,BHX,SIN,EXP,Pharma,Insulin,Y,1284,Offloaded due to capacity constraints - moved to next flight
MAWB100106,SQ,2025-08,NL,NLAMS,ECO,AMS-ATL,AMS,ATL,EXP,Automotive,Car Parts,N,2081.4,Consignee requested re-delivery - automotive plant access restricted
MAWB100107,CX,2025-10,GB,GBLHR,ECO,LHR-AMS,LHR,AMS,GEN,Retail,Clothing,Y,3790,Standard handling completed
MAWB100108,SQ,2025-03,US,USATL,GEN,ATL-SIN,ATL,SIN,GEN,Retail,Clothing,Y,1182.6,FWB docs missing - reissued before departure
MAWB100109,DL,2025-08,GB,GBBRS,ECO,BRS-GRU,BRS,GRU,DGR,Perishables,Vegetables,Y,431.1,Shipment processed normally
MAWB100110,EK,2025-05,NL,NLAMS,GEN,AMS-ORD,AMS,ORD,EXP,Retail,Homeware,Y,1484.3,Temperature excursion reported for pharma cargo
MAWB100111,LH,2025-01,DE,DEFRA,GEN,FRA-ORD,FRA,ORD,GEN,Automotive,Tyres,Y,848,
MAWB100112,EK,2025-04,SG,SGSIN,XPS,SIN-ATL,SIN,ATL,DGR,Pharma,Laboratory Samples,Y,4652,Standard handling completed
MAWB100113,BA,2025-03,SG,SGSIN,DGR,SIN-CDG,SIN,CDG,GEN,Perishables,Fruit,Y,4050.2,Standard handling completed
MAWB100114,BA,2025-11,AE,AEDXB,DGR,DXB-AMS,DXB,AMS,GEN,Perishables,Flowers,N,3185.3,
MAWB100115,LH,2025-03,FR,FRCDG,PRM,CDG-LHR,CDG,LHR,GEN,Automotive,Car Parts,N,4363.7,Standard handling completed
MAWB100116,BA,2025-08,US,USATL,PRM,ATL-LAX,ATL,LAX,DGR,Aerospace,Aircraft Parts,N,4028.2,Standard handling completed
MAWB100117,UA,2025-07,US,USATL,PRM,ATL-PVG,ATL,PVG,EXP,Pharma,Insulin,Y,973.5,
MAWB100118,CX,2025-02,GB,GBLHR,GEN,LHR-JFK,LHR,JFK,DGR,Aerospace,Avionics,N,4468.2,Shipment held due to missing invoice & packing list
MAWB100119,EK,2025-02,US,USATL,GEN,ATL-GRU,ATL,GRU,EXP,Aerospace,Maintenance Kits,Y,2719.7,
MAWB100120,DL,2025-07,NL,NLAMS,DGR,AMS-JFK,AMS,JFK,DGR,Retail,Homeware,N,4046.8,Shipment moved as planned
MAWB100121,DL,2025-02,DE,DEFRA,XPS,FRA-MEX,FRA,MEX,DGR,Retail,Clothing,N,4485.7,
MAWB100122,DL,2025-11,GB,GBMAN,PRM,MAN-GRU,MAN,GRU,GEN,Pharma,Laboratory Samples,N,1624.1,Temperature excursion reported for pharma cargo
MAWB100123,UA,2025-10,SG,SGSIN,DIM,SIN-DXB,SIN,DXB,GEN,Automotive,Car Parts,N,594.8,
MAWB100124,BA,2025-10,AE,AEDXB,ECO,DXB-LAX,DXB,LAX,DGR,Pharma,Laboratory Samples,N,1178.3,No issues reported
MAWB100125,AF,2025-06,FR,FRCDG,ECO,CDG-LHR,CDG,LHR,DGR,Automotive,Tyres,N,2164.2,
MAWB100126,DL,2025-12,GB,GBLHR,GEN,LHR-MEX,LHR,MEX,EXP,Pharma,Vaccines,Y,4099.2,No issues reported
MAWB100127,BA,2025-01,DE,DEFRA,PRM,FRA-SIN,FRA,SIN,GEN,Automotive,Car Parts,N,4310.6,Customer requested delivery change after ARR
MAWB100128,LH,2025-07,US,USATL,DGR,ATL-NRT,ATL,NRT,EXP,Retail,Homeware,Y,84.4,Standard handling completed
MAWB100129,BA,2025-01,GB,GBBHX,XPS,BHX-DEL,BHX,DEL,GEN,Retail,Consumer Electronics,N,2578.2,Standard handling completed
MAWB100130,DL,2025-06,GB,GBBRS,DIM,BRS-MEX,BRS,MEX,GEN,Automotive,Tyres,N,2116.2,RCF milestone not updated on time
MAWB100131,BA,2025-02,AE,AEDXB,GEN,DXB-FRA,DXB,FRA,GEN,Aerospace,Turbine Components,N,1149.4,Shipment processed normally
MAWB100132,DL,2025-10,GB,GBLHR,DGR,LHR-JFK,LHR,JFK,GEN,Aerospace,Maintenance Kits,N,643.3,Shipment processed normally
MAWB100133,DL,2025-12,FR,FRCDG,XPS,CDG-JFK,CDG,JFK,GEN,Perishables,Vegetables,N,1721.2,
MAWB100134,CX,2025-07,SG,SGSIN,DIM,SIN-HKG,SIN,HKG,EXP,Aerospace,Aircraft Parts,Y,4717.4,Shipment processed normally
MAWB100135,AF,2025-06,GB,GBLHR,DIM,LHR-GRU,LHR,GRU,GEN,Pharma,Medical Devices,Y,1649.9,Shipment processed normally
MAWB100136,UA,2025-11,GB,GBBHX,GEN,BHX-CDG,BHX,CDG,DGR,Perishables,Fish,N,2618,Customer requested delivery change after ARR
MAWB100137,SQ,2025-08,SG,SGSIN,DGR,SIN-JFK,SIN,JFK,DGR,Automotive,Engine Components,Y,3529.9,RCF milestone not updated on time
MAWB100138,CX,2025-08,DE,DEFRA,DGR,FRA-GRU,FRA,GRU,GEN,Pharma,Laboratory Samples,Y,1850,
MAWB100139,BA,2025-10,SG,SGSIN,GEN,SIN-GRU,SIN,GRU,DGR,Retail,Homeware,Y,4860.3,Retail cargo missed connecting flight - expedited rebooking during peak
MAWB100140,LH,2025-01,DE,DEFRA,ECO,FRA-SYD,FRA,SYD,DGR,Aerospace,Avionics,Y,4814.1,Shipment moved as planned
MAWB100141,CX,2025-09,FR,FRCDG,DGR,CDG-AMS,CDG,AMS,EXP,Retail,Homeware,N,1296.3,
MAWB100142,CX,2025-11,NL,NLAMS,XPS,AMS-JFK,AMS,JFK,DGR,Aerospace,Aircraft Parts,N,2511.4,
MAWB100143,AF,2025-06,GB,GBBHX,DGR,BHX-AMS,BHX,AMS,EXP,Aerospace,Avionics,N,1539.3,Warehouse handling delay - build up completed late
MAWB100144,AF,2025-09,GB,GBMAN,PRM,MAN-BKK,MAN,BKK,DGR,Pharma,Laboratory Samples,Y,1460,Shipment moved as planned
MAWB100145,CX,2025-06,NL,NLAMS,GEN,AMS-GRU,AMS,GRU,GEN,Automotive,Car Parts,Y,232.6,
MAWB100146,BA,2025-02,GB,GBMAN,PRM,MAN-MEX,MAN,MEX,EXP,Pharma,Laboratory Samples,Y,3067.3,Standard handling completed
MAWB100147,AF,2025-03,SG,SGSIN,PRM,SIN-HKG,SIN,HKG,EXP,Perishables,Fish,Y,2538.3,Standard handling completed
MAWB100148,UA,2025-10,NL,NLAMS,DIM,AMS-LAX,AMS,LAX,DGR,Perishables,Vegetables,Y,304.8,Shipment processed normally
MAWB100149,UA,2025-11,GB,GBBHX,DGR,BHX-ICN,BHX,ICN,EXP,Perishables,Fruit,N,1429.3,No issues reported
MAWB100150,CX,2025-05,GB,GBMAN,ECO,MAN-CDG,MAN,CDG,GEN,Aerospace,Avionics,Y,4545.9,RCF milestone not updated on time
MAWB100151,DL,2025-08,GB,GBBHX,XPS,BHX-JNB,BHX,JNB,GEN,Perishables,Fruit,N,1235.8,Fish supplier delayed cargo handover - fresh produce at risk
MAWB100152,DL,2025-07,DE,DEFRA,XPS,FRA-ATL,FRA,ATL,EXP,Retail,Clothing,Y,767.2,Packing declaration incomplete for battery-powered devices
MAWB100153,UA,2025-03,FR,FRCDG,PRM,CDG-JFK,CDG,JFK,GEN,Pharma,Laboratory Samples,N,2472.8,Customs hold at destination - awaiting clearance
MAWB100154,DL,2025-05,US,USATL,XPS,ATL-PVG,ATL,PVG,EXP,Pharma,Vaccines,Y,4929,Security screening issue / additional xray required
MAWB100155,UA,2025-07,GB,GBBHX,XPS,BHX-ORD,BHX,ORD,GEN,Pharma,Medical Devices,N,1248.2,Standard handling completed
MAWB100156,BA,2025-12,SG,SGSIN,ECO,SIN-DEL,SIN,DEL,EXP,Pharma,Medical Devices,Y,3377.1,Dangerous goods paperwork incorrect
MAWB100157,BA,2025-09,SG,SGSIN,GEN,SIN-NRT,SIN,NRT,EXP,Perishables,Flowers,Y,3820,
MAWB100158,EK,2025-06,NL,NLAMS,PRM,AMS-LAX,AMS,LAX,DGR,Automotive,Car Parts,Y,1226.3,Shipment moved as planned
MAWB100159,AF,2025-06,SG,SGSIN,PRM,SIN-JFK,SIN,JFK,EXP,Perishables,Flowers,N,3654.7,Shipment processed normally
MAWB100160,EK,2025-01,GB,GBMAN,XPS,MAN-MEX,MAN,MEX,EXP,Pharma,Insulin,N,1870.5,
MAWB100161,EK,2025-05,AE,AEDXB,DGR,DXB-HKG,DXB,HKG,EXP,Aerospace,Maintenance Kits,Y,3179.9,Late cargo tender from MRO supplier - part certification incomplete
MAWB100162,UA,2025-07,DE,DEFRA,GEN,FRA-DXB,FRA,DXB,EXP,Pharma,Laboratory Samples,Y,3186,Shipment processed normally
MAWB100163,DL,2025-02,US,USATL,ECO,ATL-SYD,ATL,SYD,GEN,Automotive,Tyres,N,2702.1,
MAWB100164,DL,2025-11,DE,DEFRA,DIM,FRA-ORD,FRA,ORD,DGR,Pharma,Laboratory Samples,N,496.9,No issues reported
MAWB100165,BA,2025-10,DE,DEFRA,XPS,FRA-ICN,FRA,ICN,DGR,Pharma,Laboratory Samples,N,4184.7,Shipment moved as planned
MAWB100166,UA,2025-03,DE,DEFRA,XPS,FRA-GRU,FRA,GRU,GEN,Perishables,Flowers,Y,1637.9,Refrigerated haulier delayed - road congestion caused late cargo arrival
MAWB100167,UA,2025-10,GB,GBBRS,DGR,BRS-JFK,BRS,JFK,EXP,Automotive,Gearboxes,N,973.3,Security screening issue / additional xray required
MAWB100168,EK,2025-07,GB,GBLHR,XPS,LHR-BKK,LHR,BKK,GEN,Perishables,Fruit,Y,251.8,Shipment moved as planned
MAWB100169,UA,2025-05,US,USATL,DIM,ATL-GRU,ATL,GRU,DGR,Retail,Clothing,N,2974.9,Airline equipment change - reduced belly capacity during peak season
MAWB100170,UA,2025-02,US,USATL,XPS,ATL-FRA,ATL,FRA,DGR,Pharma,Medical Devices,N,3403.9,Misconnect at transit hub - temperature-controlled cargo held overnight
MAWB100171,AF,2025-05,DE,DEFRA,DGR,FRA-JNB,FRA,JNB,DGR,Aerospace,Turbine Components,Y,132.1,Shipment processed normally
MAWB100172,CX,2025-08,GB,GBLHR,GEN,LHR-FRA,LHR,FRA,DGR,Perishables,Fish,Y,2584.9,LAT milestone delayed because truck arrived late
MAWB100173,UA,2025-07,SG,SGSIN,ECO,SIN-JNB,SIN,JNB,EXP,Pharma,Laboratory Samples,N,1171.2,Shipment processed normally
MAWB100174,CX,2025-11,SG,SGSIN,DIM,SIN-JNB,SIN,JNB,DGR,Perishables,Fruit,Y,3243.6,RCF milestone not updated on time
MAWB100175,AF,2025-02,GB,GBMAN,DIM,MAN-HKG,MAN,HKG,EXP,Aerospace,Aircraft Parts,Y,913.1,Shipment moved as planned
MAWB100176,SQ,2025-05,DE,DEFRA,DIM,FRA-GRU,FRA,GRU,DGR,Automotive,Car Parts,N,3470.1,LAT milestone delayed because truck arrived late
MAWB100177,AF,2025-10,SG,SGSIN,PRM,SIN-DEL,SIN,DEL,DGR,Pharma,Medical Devices,N,1964.3,
MAWB100178,SQ,2025-01,SG,SGSIN,PRM,SIN-PVG,SIN,PVG,GEN,Pharma,Vaccines,N,4686.8,Standard handling completed
MAWB100179,EK,2025-11,SG,SGSIN,PRM,SIN-ATL,SIN,ATL,EXP,Retail,Consumer Electronics,N,730.7,No issues reported
MAWB100180,EK,2025-08,US,USATL,DGR,ATL-ORD,ATL,ORD,DGR,Pharma,Medical Devices,Y,1738.3,No issues reported
MAWB100181,LH,2025-03,DE,DEFRA,DGR,FRA-JFK,FRA,JFK,GEN,Automotive,Gearboxes,N,611.7,Certificate of origin missing for automotive components - document chase required
